1st,1stLabel,1stDay,2nd,2ndLabel,2ndDay,3rd,3rdLabel,3rdDay,4th,4thLabel,4thDay,5th,5thLabel,5thDay,6th,6thLabel,6thDay,7th,7thLabel,7thDay
229,0,1,313,-1,1,343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1
313,-1,1,343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1
343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1
363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1
386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1
330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0
271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0
349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1
382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1
583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1
569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1
488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1
449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1,583,0,0
377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0
451,0,1,511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1
511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1
540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1
629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1
583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1
631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0
615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0
594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1
677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1
666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1
688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1
950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1
1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0
718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0
880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1
1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1
1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1
1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1
1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0
1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0
926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0
869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1
1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1
983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1,1048,-2,1
1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1,1048,-2,1,967,0,1
1132,0,0,970,0,0,808,0,1,1045,0,1,1048,-2,1,967,0,1,1029,-2,0
970,0,0,808,0,1,1045,0,1,1048,-2,1,967,0,1,1029,-2,0,824,0,0
808,0,1,1045,0,1,1048,-2,1,967,0,1,1029,-2,0,824,0,0,651,-2,0
1045,0,1,1048,-2,1,967,0,1,1029,-2,0,824,0,0,651,-2,0,1020,0,1
1048,-2,1,967,0,1,1029,-2,0,824,0,0,651,-2,0,1020,0,1,715,0,1
967,0,1,1029,-2,0,824,0,0,651,-2,0,1020,0,1,715,0,1,839,0,1
1029,-2,0,824,0,0,651,-2,0,1020,0,1,715,0,1,839,0,1,868,0,1
824,0,0,651,-2,0,1020,0,1,715,0,1,839,0,1,868,0,1,672,0,1
651,-2,0,1020,0,1,715,0,1,839,0,1,868,0,1,672,0,1,641,-2,0
1020,0,1,715,0,1,839,0,1,868,0,1,672,0,1,641,-2,0,665,0,0
715,0,1,839,0,1,868,0,1,672,0,1,641,-2,0,665,0,0,450,-1,1
839,0,1,868,0,1,672,0,1,641,-2,0,665,0,0,450,-1,1,537,0,1
868,0,1,672,0,1,641,-2,0,665,0,0,450,-1,1,537,0,1,561,-2,1
672,0,1,641,-2,0,665,0,0,450,-1,1,537,0,1,561,-2,1,516,0,1
641,-2,0,665,0,0,450,-1,1,537,0,1,561,-2,1,516,0,1,513,-1,1
665,0,0,450,-1,1,537,0,1,561,-2,1,516,0,1,513,-1,1,579,-2,0
450,-1,1,537,0,1,561,-2,1,516,0,1,513,-1,1,579,-2,0,520,0,0
537,0,1,561,-2,1,516,0,1,513,-1,1,579,-2,0,520,0,0,389,-1,1
561,-2,1,516,0,1,513,-1,1,579,-2,0,520,0,0,389,-1,1,386,-2,1
516,0,1,513,-1,1,579,-2,0,520,0,0,389,-1,1,386,-2,1,403,0,1
513,-1,1,579,-2,0,520,0,0,389,-1,1,386,-2,1,403,0,1,400,0,1
579,-2,0,520,0,0,389,-1,1,386,-2,1,403,0,1,400,0,1,344,0,1
520,0,0,389,-1,1,386,-2,1,403,0,1,400,0,1,344,0,1,430,0,0
389,-1,1,386,-2,1,403,0,1,400,0,1,344,0,1,430,0,0,392,0,0
386,-2,1,403,0,1,400,0,1,344,0,1,430,0,0,392,0,0,437,0,1
403,0,1,400,0,1,344,0,1,430,0,0,392,0,0,437,0,1,354,-2,1
400,0,1,344,0,1,430,0,0,392,0,0,437,0,1,354,-2,1,554,-4,1
344,0,1,430,0,0,392,0,0,437,0,1,354,-2,1,554,-4,1,497,0,1
430,0,0,392,0,0,437,0,1,354,-2,1,554,-4,1,497,0,1,469,0,1
392,0,0,437,0,1,354,-2,1,554,-4,1,497,0,1,469,0,1,355,0,0
437,0,1,354,-2,1,554,-4,1,497,0,1,469,0,1,355,0,0,303,-1,0
354,-2,1,554,-4,1,497,0,1,469,0,1,355,0,0,303,-1,0,455,0,1
554,-4,1,497,0,1,469,0,1,355,0,0,303,-1,0,455,0,1,336,0,1
497,0,1,469,0,1,355,0,0,303,-1,0,455,0,1,336,0,1,467,0,1
469,0,1,355,0,0,303,-1,0,455,0,1,336,0,1,467,0,1,451,0,1
355,0,0,303,-1,0,455,0,1,336,0,1,467,0,1,451,0,1,369,0,1
303,-1,0,455,0,1,336,0,1,467,0,1,451,0,1,369,0,1,393,0,0
455,0,1,336,0,1,467,0,1,451,0,1,369,0,1,393,0,0,372,0,0
336,0,1,467,0,1,451,0,1,369,0,1,393,0,0,372,0,0,289,0,1
467,0,1,451,0,1,369,0,1,393,0,0,372,0,0,289,0,1,302,0,1
451,0,1,369,0,1,393,0,0,372,0,0,289,0,1,302,0,1,443,0,1
369,0,1,393,0,0,372,0,0,289,0,1,302,0,1,443,0,1,504,0,0
393,0,0,372,0,0,289,0,1,302,0,1,443,0,1,504,0,0,403,0,0
372,0,0,289,0,1,302,0,1,443,0,1,504,0,0,403,0,0,362,0,0
289,0,1,302,0,1,443,0,1,504,0,0,403,0,0,362,0,0,326,0,0
302,0,1,443,0,1,504,0,0,403,0,0,362,0,0,326,0,0,344,0,1
443,0,1,504,0,0,403,0,0,362,0,0,326,0,0,344,0,1,456,0,1
504,0,0,403,0,0,362,0,0,326,0,0,344,0,1,456,0,1,621,-1,1
403,0,0,362,0,0,326,0,0,344,0,1,456,0,1,621,-1,1,621,0,1
362,0,0,326,0,0,344,0,1,456,0,1,621,-1,1,621,0,1,561,0,1
326,0,0,344,0,1,456,0,1,621,-1,1,621,0,1,561,0,1,448,0,0
344,0,1,456,0,1,621,-1,1,621,0,1,561,0,1,448,0,0,416,0,0
456,0,1,621,-1,1,621,0,1,561,0,1,448,0,0,416,0,0,332,0,1
621,-1,1,621,0,1,561,0,1,448,0,0,416,0,0,332,0,1,357,0,1
621,0,1,561,0,1,448,0,0,416,0,0,332,0,1,357,0,1,439,0,1
561,0,1,448,0,0,416,0,0,332,0,1,357,0,1,439,0,1,396,-1,1
448,0,0,416,0,0,332,0,1,357,0,1,439,0,1,396,-1,1,406,0,1
416,0,0,332,0,1,357,0,1,439,0,1,396,-1,1,406,0,1,399,-2,0
332,0,1,357,0,1,439,0,1,396,-1,1,406,0,1,399,-2,0,355,0,0
357,0,1,439,0,1,396,-1,1,406,0,1,399,-2,0,355,0,0,353,-1,0
439,0,1,396,-1,1,406,0,1,399,-2,0,355,0,0,353,-1,0,343,0,1
396,-1,1,406,0,1,399,-2,0,355,0,0,353,-1,0,343,0,1,444,-1,1
406,0,1,399,-2,0,355,0,0,353,-1,0,343,0,1,444,-1,1,424,0,1
399,-2,0,355,0,0,353,-1,0,343,0,1,444,-1,1,424,0,1,398,0,1
355,0,0,353,-1,0,343,0,1,444,-1,1,424,0,1,398,0,1,417,0,0
353,-1,0,343,0,1,444,-1,1,424,0,1,398,0,1,417,0,0,416,0,0
343,0,1,444,-1,1,424,0,1,398,0,1,417,0,0,416,0,0,346,0,1
444,-1,1,424,0,1,398,0,1,417,0,0,416,0,0,346,0,1,446,0,1
424,0,1,398,0,1,417,0,0,416,0,0,346,0,1,446,0,1,470,0,1
398,0,1,417,0,0,416,0,0,346,0,1,446,0,1,470,0,1,465,0,1
417,0,0,416,0,0,346,0,1,446,0,1,470,0,1,465,0,1,488,0,1
416,0,0,346,0,1,446,0,1,470,0,1,465,0,1,488,0,1,490,-1,0
346,0,1,446,0,1,470,0,1,465,0,1,488,0,1,490,-1,0,459,-2,0
446,0,1,470,0,1,465,0,1,488,0,1,490,-1,0,459,-2,0,382,0,1
470,0,1,465,0,1,488,0,1,490,-1,0,459,-2,0,382,0,1,363,0,1
465,0,1,488,0,1,490,-1,0,459,-2,0,382,0,1,363,0,1,469,0,1
488,0,1,490,-1,0,459,-2,0,382,0,1,363,0,1,469,0,1,445,0,1
490,-1,0,459,-2,0,382,0,1,363,0,1,469,0,1,445,0,1,463,0,1
459,-2,0,382,0,1,363,0,1,469,0,1,445,0,1,463,0,1,452,0,0
382,0,1,363,0,1,469,0,1,445,0,1,463,0,1,452,0,0,456,0,0
363,0,1,469,0,1,445,0,1,463,0,1,452,0,0,456,0,0,410,0,1
469,0,1,445,0,1,463,0,1,452,0,0,456,0,0,410,0,1,346,0,1
445,0,1,463,0,1,452,0,0,456,0,0,410,0,1,346,0,1,425,0,1
463,0,1,452,0,0,456,0,0,410,0,1,346,0,1,425,0,1,430,0,1
452,0,0,456,0,0,410,0,1,346,0,1,425,0,1,430,0,1,494,0,1
456,0,0,410,0,1,346,0,1,425,0,1,430,0,1,494,0,1,505,0,0
410,0,1,346,0,1,425,0,1,430,0,1,494,0,1,505,0,0,482,0,0
346,0,1,425,0,1,430,0,1,494,0,1,505,0,0,482,0,0,384,-1,1
425,0,1,430,0,1,494,0,1,505,0,0,482,0,0,384,-1,1,441,-2,1
430,0,1,494,0,1,505,0,0,482,0,0,384,-1,1,441,-2,1,506,0,1
494,0,1,505,0,0,482,0,0,384,-1,1,441,-2,1,506,0,1,551,0,1
505,0,0,482,0,0,384,-1,1,441,-2,1,506,0,1,551,0,1,555,-1,1
482,0,0,384,-1,1,441,-2,1,506,0,1,551,0,1,555,-1,1,542,0,0
384,-1,1,441,-2,1,506,0,1,551,0,1,555,-1,1,542,0,0,543,0,0
441,-2,1,506,0,1,551,0,1,555,-1,1,542,0,0,543,0,0,473,0,1
506,0,1,551,0,1,555,-1,1,542,0,0,543,0,0,473,0,1,478,-2,1
551,0,1,555,-1,1,542,0,0,543,0,0,473,0,1,478,-2,1,668,0,1
555,-1,1,542,0,0,543,0,0,473,0,1,478,-2,1,668,0,1,700,0,1
542,0,0,543,0,0,473,0,1,478,-2,1,668,0,1,700,0,1,671,0,1
543,0,0,473,0,1,478,-2,1,668,0,1,700,0,1,671,0,1,676,0,0
473,0,1,478,-2,1,668,0,1,700,0,1,671,0,1,676,0,0,614,0,0
478,-2,1,668,0,1,700,0,1,671,0,1,676,0,0,614,0,0,587,0,1
668,0,1,700,0,1,671,0,1,676,0,0,614,0,0,587,0,1,542,0,1
700,0,1,671,0,1,676,0,0,614,0,0,587,0,1,542,0,1,731,-2,1
671,0,1,676,0,0,614,0,0,587,0,1,542,0,1,731,-2,1,698,0,1
676,0,0,614,0,0,587,0,1,542,0,1,731,-2,1,698,0,1,672,0,1
614,0,0,587,0,1,542,0,1,731,-2,1,698,0,1,672,0,1,655,0,0
587,0,1,542,0,1,731,-2,1,698,0,1,672,0,1,655,0,0,671,0,0
542,0,1,731,-2,1,698,0,1,672,0,1,655,0,0,671,0,0,531,0,1
731,-2,1,698,0,1,672,0,1,655,0,0,671,0,0,531,0,1,549,0,1
698,0,1,672,0,1,655,0,0,671,0,0,531,0,1,549,0,1,731,0,1
672,0,1,655,0,0,671,0,0,531,0,1,549,0,1,731,0,1,735,0,1
655,0,0,671,0,0,531,0,1,549,0,1,731,0,1,735,0,1,797,0,1
671,0,0,531,0,1,549,0,1,731,0,1,735,0,1,797,0,1,785,0,0
531,0,1,549,0,1,731,0,1,735,0,1,797,0,1,785,0,0,500,0,0
549,0,1,731,0,1,735,0,1,797,0,1,785,0,0,500,0,0,511,0,1
731,0,1,735,0,1,797,0,1,785,0,0,500,0,0,511,0,1,644,2,1
735,0,1,797,0,1,785,0,0,500,0,0,511,0,1,644,2,1,775,-1,1
797,0,1,785,0,0,500,0,0,511,0,1,644,2,1,775,-1,1,678,0,1
785,0,0,500,0,0,511,0,1,644,2,1,775,-1,1,678,0,1,656,0,1
500,0,0,511,0,1,644,2,1,775,-1,1,678,0,1,656,0,1,627,-2,0
511,0,1,644,2,1,775,-1,1,678,0,1,656,0,1,627,-2,0,606,0,0
644,2,1,775,-1,1,678,0,1,656,0,1,627,-2,0,606,0,0,488,1,1
775,-1,1,678,0,1,656,0,1,627,-2,0,606,0,0,488,1,1,541,-2,1
678,0,1,656,0,1,627,-2,0,606,0,0,488,1,1,541,-2,1,676,0,0
656,0,1,627,-2,0,606,0,0,488,1,1,541,-2,1,676,0,0,574,0,1
627,-2,0,606,0,0,488,1,1,541,-2,1,676,0,0,574,0,1,525,0,1
606,0,0,488,1,1,541,-2,1,676,0,0,574,0,1,525,0,1,701,0,0
488,1,1,541,-2,1,676,0,0,574,0,1,525,0,1,701,0,0,564,0,0
541,-2,1,676,0,0,574,0,1,525,0,1,701,0,0,564,0,0,463,0,1
676,0,0,574,0,1,525,0,1,701,0,0,564,0,0,463,0,1,511,0,1
574,0,1,525,0,1,701,0,0,564,0,0,463,0,1,511,0,1,635,1,1
525,0,1,701,0,0,564,0,0,463,0,1,511,0,1,635,1,1,715,-1,1
701,0,0,564,0,0,463,0,1,511,0,1,635,1,1,715,-1,1,747,-1,1
564,0,0,463,0,1,511,0,1,635,1,1,715,-1,1,747,-1,1,681,0,0
463,0,1,511,0,1,635,1,1,715,-1,1,747,-1,1,681,0,0,610,0,0
511,0,1,635,1,1,715,-1,1,747,-1,1,681,0,0,610,0,0,619,-1,1
635,1,1,715,-1,1,747,-1,1,681,0,0,610,0,0,619,-1,1,528,-2,1
715,-1,1,747,-1,1,681,0,0,610,0,0,619,-1,1,528,-2,1,653,0,0
747,-1,1,681,0,0,610,0,0,619,-1,1,528,-2,1,653,0,0,646,0,1
681,0,0,610,0,0,619,-1,1,528,-2,1,653,0,0,646,0,1,561,0,1
610,0,0,619,-1,1,528,-2,1,653,0,0,646,0,1,561,0,1,666,-1,0
619,-1,1,528,-2,1,653,0,0,646,0,1,561,0,1,666,-1,0,585,0,0
528,-2,1,653,0,0,646,0,1,561,0,1,666,-1,0,585,0,0,538,0,1
653,0,0,646,0,1,561,0,1,666,-1,0,585,0,0,538,0,1,516,0,1
646,0,1,561,0,1,666,-1,0,585,0,0,538,0,1,516,0,1,699,-1,1
561,0,1,666,-1,0,585,0,0,538,0,1,516,0,1,699,-1,1,629,0,1
666,-1,0,585,0,0,538,0,1,516,0,1,699,-1,1,629,0,1,587,4,1
585,0,0,538,0,1,516,0,1,699,-1,1,629,0,1,587,4,1,533,0,0
538,0,1,516,0,1,699,-1,1,629,0,1,587,4,1,533,0,0,479,0,0
516,0,1,699,-1,1,629,0,1,587,4,1,533,0,0,479,0,0,430,0,1
699,-1,1,629,0,1,587,4,1,533,0,0,479,0,0,430,0,1,459,0,1
629,0,1,587,4,1,533,0,0,479,0,0,430,0,1,459,0,1,677,0,1
587,4,1,533,0,0,479,0,0,430,0,1,459,0,1,677,0,1,681,0,1
533,0,0,479,0,0,430,0,1,459,0,1,677,0,1,681,0,1,695,-1,1
479,0,0,430,0,1,459,0,1,677,0,1,681,0,1,695,-1,1,744,-1,0
430,0,1,459,0,1,677,0,1,681,0,1,695,-1,1,744,-1,0,556,0,0
459,0,1,677,0,1,681,0,1,695,-1,1,744,-1,0,556,0,0,485,0,1
677,0,1,681,0,1,695,-1,1,744,-1,0,556,0,0,485,0,1,454,0,1
681,0,1,695,-1,1,744,-1,0,556,0,0,485,0,1,454,0,1,601,0,1
695,-1,1,744,-1,0,556,0,0,485,0,1,454,0,1,601,0,1,611,0,1
744,-1,0,556,0,0,485,0,1,454,0,1,601,0,1,611,0,1,556,0,1
556,0,0,485,0,1,454,0,1,601,0,1,611,0,1,556,0,1,563,0,0
485,0,1,454,0,1,601,0,1,611,0,1,556,0,1,563,0,0,452,0,0
454,0,1,601,0,1,611,0,1,556,0,1,563,0,0,452,0,0,399,0,1
601,0,1,611,0,1,556,0,1,563,0,0,452,0,0,399,0,1,374,-1,1
611,0,1,556,0,1,563,0,0,452,0,0,399,0,1,374,-1,1,544,0,1
556,0,1,563,0,0,452,0,0,399,0,1,374,-1,1,544,0,1,540,0,1
563,0,0,452,0,0,399,0,1,374,-1,1,544,0,1,540,0,1,507,0,1
452,0,0,399,0,1,374,-1,1,544,0,1,540,0,1,507,0,1,482,0,0
399,0,1,374,-1,1,544,0,1,540,0,1,507,0,1,482,0,0,429,0,0
374,-1,1,544,0,1,540,0,1,507,0,1,482,0,0,429,0,0,357,0,1
544,0,1,540,0,1,507,0,1,482,0,0,429,0,0,357,0,1,395,0,1
540,0,1,507,0,1,482,0,0,429,0,0,357,0,1,395,0,1,644,0,1
507,0,1,482,0,0,429,0,0,357,0,1,395,0,1,644,0,1,610,0,1
482,0,0,429,0,0,357,0,1,395,0,1,644,0,1,610,0,1,634,0,1
429,0,0,357,0,1,395,0,1,644,0,1,610,0,1,634,0,1,668,0,0
357,0,1,395,0,1,644,0,1,610,0,1,634,0,1,668,0,0,614,0,0
395,0,1,644,0,1,610,0,1,634,0,1,668,0,0,614,0,0,501,0,1
644,0,1,610,0,1,634,0,1,668,0,0,614,0,0,501,0,1,595,0,1
610,0,1,634,0,1,668,0,0,614,0,0,501,0,1,595,0,1,794,0,1
634,0,1,668,0,0,614,0,0,501,0,1,595,0,1,794,0,1,762,0,1
668,0,0,614,0,0,501,0,1,595,0,1,794,0,1,762,0,1,826,0,1
614,0,0,501,0,1,595,0,1,794,0,1,762,0,1,826,0,1,793,0,0
501,0,1,595,0,1,794,0,1,762,0,1,826,0,1,793,0,0,742,0,0
595,0,1,794,0,1,762,0,1,826,0,1,793,0,0,742,0,0,711,0,1
794,0,1,762,0,1,826,0,1,793,0,0,742,0,0,711,0,1,746,0,1
762,0,1,826,0,1,793,0,0,742,0,0,711,0,1,746,0,1,1212,0,1
826,0,1,793,0,0,742,0,0,711,0,1,746,0,1,1212,0,1,1275,0,1
793,0,0,742,0,0,711,0,1,746,0,1,1212,0,1,1275,0,1,1316,-1,1
742,0,0,711,0,1,746,0,1,1212,0,1,1275,0,1,1316,-1,1,1378,0,0
711,0,1,746,0,1,1212,0,1,1275,0,1,1316,-1,1,1378,0,0,1100,0,0
746,0,1,1212,0,1,1275,0,1,1316,-1,1,1378,0,0,1100,0,0,1324,0,1
1212,0,1,1275,0,1,1316,-1,1,1378,0,0,1100,0,0,1324,0,1,1150,0,1
1275,0,1,1316,-1,1,1378,0,0,1100,0,0,1324,0,1,1150,0,1,1615,0,1
1316,-1,1,1378,0,0,1100,0,0,1324,0,1,1150,0,1,1615,0,1,1600,0,1
1378,0,0,1100,0,0,1324,0,1,1150,0,1,1615,0,1,1600,0,1,1535,0,1
1100,0,0,1324,0,1,1150,0,1,1615,0,1,1600,0,1,1535,0,1,1454,0,0
1324,0,1,1150,0,1,1615,0,1,1600,0,1,1535,0,1,1454,0,0,1451,-2,0
1150,0,1,1615,0,1,1600,0,1,1535,0,1,1454,0,0,1451,-2,0,1252,0,1
1615,0,1,1600,0,1,1535,0,1,1454,0,0,1451,-2,0,1252,0,1,1278,-1,1
1600,0,1,1535,0,1,1454,0,0,1451,-2,0,1252,0,1,1278,-1,1,1784,0,1
1535,0,1,1454,0,0,1451,-2,0,1252,0,1,1278,-1,1,1784,0,1,1838,0,1
1454,0,0,1451,-2,0,1252,0,1,1278,-1,1,1784,0,1,1838,0,1,1630,0,1
1451,-2,0,1252,0,1,1278,-1,1,1784,0,1,1838,0,1,1630,0,1,1629,0,0
1252,0,1,1278,-1,1,1784,0,1,1838,0,1,1630,0,1,1629,0,0,1486,0,0
1278,-1,1,1784,0,1,1838,0,1,1630,0,1,1629,0,0,1486,0,0,1318,0,1
1784,0,1,1838,0,1,1630,0,1,1629,0,0,1486,0,0,1318,0,1,1365,-2,1
1838,0,1,1630,0,1,1629,0,0,1486,0,0,1318,0,1,1365,-2,1,1896,-1,1
1630,0,1,1629,0,0,1486,0,0,1318,0,1,1365,-2,1,1896,-1,1,1674,0,1
