RESTRICTION,FRI,SAT,SUN,MON,TUE,WEN,THR,LABELDATA
7,122,229,169,231,144,284,505,0
7,571,813,586,476,600,516,438,1
7,367,248,131,242,114,110,107,-4
7,76,74,84,93,152,87,147,-5
8.5,87,147,98,64,76,100,104,-1
9.1,91,146,105,78,125,101,89,-2
9.5,86,94,71,47,47,53,39,-1
10.5,27,30,32,25,27,27,22,0
9.7,22,18,8,13,9,11,8,3
9.1,6,10,10,10,14,9,4,0
8.5,9,6,13,8,3,2,4,-3
7,12,18,34,35,27,26,29,-1
7,27,19,13,15,13,32,12,0
7,20,23,25,16,19,40,79,-2
7,58,39,27,35,38,49,39,0
7,39,51,57,38,38,50,45,-2
7,56,48,34,36,34,43,59,-5
7,49,67,48,17,46,51,28,0
7,39,51,62,42,43,50,54,0
7,63,63,61,46,44,63,49,0
7,45,35,44,92,33,39,61,1
7,60,39,34,26,45,63,59,0
7,41,113,58,25,28,48,18,0
7,36,31,30,23,34,33,43,-1
7,20,43,36,28,34,54,56,-3
12,103,166,279,197,246,297,288,-1
17.5,324,332,397,266,280,320,441,0
17.5,371,323,299,248,235,267,195,-5
17.5,198,168,167,119,136,156,155,0
15.5,176,136,121,109,106,113,153,-1
14,126,110,82,70,61,110,125,-1
14,114,61,95,50,38,113,77,-3
14,63,75,64,73,75,114,69,-1
9,54,72,58,97,102,84,99,2
7,47,73,91,76,58,91,119,0
7,155,77,61,119,88,103,125,0
7.5,114,126,124,97,75,118,125,-1
10.5,145,89,143,126,100,146,143,0
10.5,191,205,208,223,229,313,343,-3
12,363,386,330,271,349,382,583,2
14,569,488,449,377,451,511,540,0
15.5,629,583,631,615,594,677,666,-1
17.5,688,950,1030,718,880,1078,1011,2
17.5,1062,1055,1095,926,869,1090,983,0
17.5,1237,1132,970,808,1045,1048,967,-2
17.5,1029,824,651,1020,715,839,868,-4
17.5,672,641,665,450,537,561,516,-3
17.5,513,579,520,389,386,403,400,-2
17.5,344,430,392,437,354,554,497,-2
17.5,469,355,303,455,336,467,451,-1
17.5,369,393,372,289,302,443,504,0
15.5,403,362,326,344,456,621,621,0
14,561,448,416,332,357,439,396,0
14,406,399,355,353,343,444,424,-4
14,398,417,416,346,446,470,465,0
14,488,490,459,382,363,469,445,-3
14,463,452,456,410,346,425,430,0
14,494,505,482,384,441,506,551,-2
14,555,542,543,473,478,668,700,-2
14,671,676,614,587,542,731,698,-2
14,672,655,671,531,549,731,735,0
14,797,785,500,511,644,775,678,1
14,656,627,606,488,541,676,574,-1
14,525,701,564,463,511,635,715,0
14,747,681,610,619,528,653,646,-3
14,561,666,585,538,516,699,629,-2
14,587,533,479,430,459,677,681,0
14,695,744,556,485,454,601,611,-2
14,556,563,452,399,374,544,540,0
14,507,482,429,357,395,644,610,0
14,634,668,614,501,595,794,762,0
14,826,793,742,711,746,1212,1275,0
22,1316,1378,1100,1324,1150,1615,1600,-1
28,1535,1454,1451,1252,1278,1784,1838,0