WEEK_VAL,WEEK_RES
1684,7
4000,7
1319,7
713,7
676,8.5
735,9.1
437,9.5
190,10.5
89,9.7
63,9.1
45,8.5
181,7
131,7
222,7
285,7
318,7
310,7
306,7
341,7
389,7
349,7
326,7
331,7
230,7
271,7
1576,12
2360,17.5
1938,17.5
1099,17.5
914,15.5
684,14
548,14
533,14
566,9
555,7
728,7
779,7.5
892,10.5
1712,10.5
2664,12
3385,14
4395,15.5
6355,17.5
7080,17.5
7207,17.5
5946,17.5
4042,17.5
3190,17.5
3008,17.5
2836,17.5
2672,17.5
3133,15.5
2949,14
2724,14
2958,14
3096,14
2982,14
3363,14
3959,14
4519,14
4544,14
4690,14
4168,14
4114,14
4484,14
4194,14
3846,14
4146,14
3428,14
3424,14
4568,14
6305,14
9483,22
10592,28